,id,publication_year,cited_by_count,author_ids
58,https://openalex.org/W2040027527,2015.0,106.0,"['https://openalex.org/A5102903629', 'https://openalex.org/A5077079119', 'https://openalex.org/A5069476228', 'https://openalex.org/A5056106335']"
59,https://openalex.org/W2087628758,2014.0,101.0,['https://openalex.org/A5077079119']
60,https://openalex.org/W2558034695,2016.0,88.0,"['https://openalex.org/A5075987993', 'https://openalex.org/A5052150259', 'https://openalex.org/A5077079119', 'https://openalex.org/A5052048365']"
61,https://openalex.org/W2980061931,2019.0,81.0,"['https://openalex.org/A5039815972', 'https://openalex.org/A5012971694', 'https://openalex.org/A5083477814', 'https://openalex.org/A5077079119', 'https://openalex.org/A5064230639', 'https://openalex.org/A5049349154', 'https://openalex.org/A5005997281']"
62,https://openalex.org/W3129534106,2021.0,70.0,"['https://openalex.org/A5087341282', 'https://openalex.org/A5038687622', 'https://openalex.org/A5077079119']"
63,https://openalex.org/W4312065168,2022.0,61.0,"['https://openalex.org/A5064296964', 'https://openalex.org/A5077079119', 'https://openalex.org/A5069454833', 'https://openalex.org/A5069999998', 'https://openalex.org/A5103706325', 'https://openalex.org/A5000679279']"
65,https://openalex.org/W4379053622,2023.0,26.0,"['https://openalex.org/A5083289746', 'https://openalex.org/A5083477814', 'https://openalex.org/A5019568596', 'https://openalex.org/A5029249257', 'https://openalex.org/A5077079119']"
66,https://openalex.org/W4386528753,2023.0,26.0,"['https://openalex.org/A5047918106', 'https://openalex.org/A5000577985', 'https://openalex.org/A5025205227', 'https://openalex.org/A5077079119']"
68,https://openalex.org/W2154521990,2000.0,142.0,"['https://openalex.org/A5071093940', 'https://openalex.org/A5077079119']"
69,https://openalex.org/W2120380598,2010.0,95.0,"['https://openalex.org/A5102903629', 'https://openalex.org/A5077079119']"
70,https://openalex.org/W1911642898,2011.0,83.0,"['https://openalex.org/A5038687622', 'https://openalex.org/A5084989076', 'https://openalex.org/A5077079119', 'https://openalex.org/A5015419380']"
71,https://openalex.org/W2160178500,2015.0,74.0,"['https://openalex.org/A5038687622', 'https://openalex.org/A5084989076', 'https://openalex.org/A5077079119', 'https://openalex.org/A5015419380']"
72,https://openalex.org/W2522150690,2016.0,63.0,"['https://openalex.org/A5010626848', 'https://openalex.org/A5077079119', 'https://openalex.org/A5088590161']"
73,https://openalex.org/W3136588178,2021.0,41.0,"['https://openalex.org/A5057243118', 'https://openalex.org/A5075956753', 'https://openalex.org/A5077079119', 'https://openalex.org/A5071093940', 'https://openalex.org/A5007176508']"
76,https://openalex.org/W2166603063,2006.0,105.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5071093940']"
77,https://openalex.org/W149336996,2007.0,88.0,"['https://openalex.org/A5071093940', 'https://openalex.org/A5077079119', 'https://openalex.org/A5063267934']"
78,https://openalex.org/W2170085538,2009.0,88.0,"['https://openalex.org/A5080087902', 'https://openalex.org/A5071093940', 'https://openalex.org/A5063267934', 'https://openalex.org/A5077079119']"
79,https://openalex.org/W2131972455,2009.0,80.0,"['https://openalex.org/A5025964235', 'https://openalex.org/A5077079119', 'https://openalex.org/A5053621830']"
